ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
29	CR190160	26050	Progesterone	2019-05-14
29	CR220404	33068	Progesterone	2022-11-03
29	CR230499	35041	Progesterone	2023-12-14
29	CR230647	34772	Progesterone	2023-10-31
29	CR240041	35323	Progesterone	2024-02-28
29	CR240041	35324	Progesterone	2024-02-28
29	E990031	4490	Progesterone	1999-07-09
29	E990037	4754	Progesterone	1999-08-12
29	K022603	148	Progesterone	2002-10-30
29	K022901	2738	Progesterone	2002-09-26
29	K023049	2354	Progesterone	2002-10-08
29	K040923	4412	Progesterone	2005-02-15
29	K051012	12508	Progesterone	2005-07-25
29	K060256	13024	Progesterone	2006-03-22
29	K060373	14867	Progesterone	2006-03-16
29	K923410	5395	Progesterone	1994-11-10
29	K931228	5668	Progesterone	1994-06-10
29	K932778	5749	Progesterone	1994-05-20
29	K932778	5750	Progesterone	1999-05-07
29	K932955	5524	Progesterone	1993-11-22
29	K932955	5525	Progesterone	1996-11-15
29	K933128	5762	Progesterone	1994-05-20
29	K933269	2793	Progesterone	1994-05-20
29	K933269	2795	Progesterone	1994-05-20
29	K933635	5781	Progesterone	1994-05-20
29	K933635	5782	Progesterone	1994-05-20
29	K933635	5783	Progesterone	1998-04-17
29	K933635	5784	Progesterone	1998-04-17
29	K935047	5936	Progesterone	1994-11-23
29	K935138	1095	Progesterone	1994-06-10
29	K940810	6100	Progesterone	1996-10-25
29	K940810	6101	Progesterone	1996-11-15
29	K942443	6192	Progesterone	1998-01-16
29	K951630	6191	Progesterone	1995-05-19
29	K952075	1005	Progesterone	1998-08-21
29	K952075	6186	Progesterone	1995-06-16
29	K955025	130	Progesterone	1996-03-15
29	K955769	730	Progesterone	1997-05-16
29	K955769	1049	Progesterone	2001-07-06
29	K955769	5536	Progesterone	1996-03-22
29	K961481	45	Progesterone	2001-06-12
29	K961481	13666	Progesterone	2006-12-30
29	K962919	4206	Progesterone	2004-03-15
29	K964841	43	Progesterone	1999-05-07
